projectId,projectKey,deviceId,item,status
528,PKXXFX71H1W72TMWYW,6181882927,voc,notDownloaded
528,PKXXFX71H1W72TMWYW,6181882927,pm2_5,notDownloaded
528,PKXXFX71H1W72TMWYW,6181882927,humidity,notDownloaded
528,PKXXFX71H1W72TMWYW,6181882927,temperature,notDownloaded
528,PKXXFX71H1W72TMWYW,6172629251,voc,notDownloaded
528,PKXXFX71H1W72TMWYW,6172629251,pm2_5,notDownloaded
528,PKXXFX71H1W72TMWYW,6172629251,humidity,notDownloaded
528,PKXXFX71H1W72TMWYW,6172629251,temperature,notDownloaded
528,PKXXFX71H1W72TMWYW,6665272821,voc,notDownloaded
528,PKXXFX71H1W72TMWYW,6665272821,pm2_5,notDownloaded
528,PKXXFX71H1W72TMWYW,6665272821,humidity,notDownloaded
528,PKXXFX71H1W72TMWYW,6665272821,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6935359796,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6935359796,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6935359796,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6935359796,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6934750678,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6934750678,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6934750678,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6934750678,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6918829352,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6918829352,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6918829352,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6918829352,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6920555746,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6920555746,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6920555746,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6920555746,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6920916468,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6920916468,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6920916468,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6920916468,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6925267282,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6925267282,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6925267282,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6925267282,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6926866153,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6926866153,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6926866153,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6926866153,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6919116007,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6919116007,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6919116007,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6919116007,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928666036,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928666036,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928666036,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928666036,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928903051,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928903051,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928903051,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928903051,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6925405069,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6925405069,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6925405069,humidity,notDownloaded
